Name,Textbox3,,,,,,,,,,,,
Yosemite NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts,,,,,,,,,,,,
,,,,,,,,,,,,,
GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT ARCH ROCK,2020,"20,897","29,344",0,0,0,"19,199","53,231","31,476","16,126",,,
TRAFFIC COUNT AT ARCH ROCK,2019,"20,296","18,627","26,718","41,740","53,008","60,656","65,040","61,529","57,224","42,021","31,304","22,428"
TRAFFIC COUNT AT ARCH ROCK,2018,"20,793","22,429","30,230","36,935","46,739","45,000","21,450","27,200","44,223","35,650","28,012","21,859"
TRAFFIC COUNT AT ARCH ROCK,2017,"20,184","24,206","46,112","66,498","67,532","57,925","57,547","57,367","63,136","48,242","33,996","19,405"
TRAFFIC COUNT AT ARCH ROCK,2016,"21,728","26,196","32,769","38,821","52,689","58,480","60,143","54,744","52,947","43,187","28,816","23,811"
TRAFFIC COUNT AT ARCH ROCK,2015,"19,875","19,574","28,666","35,198","45,677","49,450","48,671","49,004","43,376","36,641","24,772","23,412"
TRAFFIC COUNT AT ARCH ROCK,2014,"16,919","16,924","21,754","32,520","44,950","45,000","56,355","49,472","40,474","29,344","23,857","21,975"
TRAFFIC COUNT AT ARCH ROCK,2013,"16,634","17,536","25,560","30,371","44,950","45,000","50,987","55,726","40,552","20,237","22,968","18,484"
TRAFFIC COUNT AT ARCH ROCK,2012,"18,387","17,877","23,422","33,551","45,200","49,717","50,002","49,600","38,196","28,858","19,275","17,383"
TRAFFIC COUNT AT ARCH ROCK,2011,"17,128","17,345","19,730","31,500","44,950","56,213","59,327","54,471","44,896","37,061","22,218","18,149"
TRAFFIC COUNT AT ARCH ROCK,2010,"15,385","16,482","22,692","29,365","45,513","56,830","57,350","51,946","46,205","34,755","21,411","15,627"
TRAFFIC COUNT AT ARCH ROCK,2009,"15,440","14,002","20,361","29,003","42,580","47,773","51,030","49,969","43,796","34,237","21,837","17,474"
TRAFFIC COUNT AT ARCH ROCK,2008,"15,048","16,700","22,401","25,287","38,920","44,019","43,485","42,423","36,330","31,070","19,285","15,803"
TRAFFIC COUNT AT ARCH ROCK,2007,"14,722","14,248","19,687","26,916","37,943","42,237","44,124","43,148","37,132","30,765","21,216","16,432"
TRAFFIC COUNT AT ARCH ROCK,2006,"17,670","15,490","20,985","29,254","1,060",0,0,"31,704","35,095","28,959","21,048","16,477"
TRAFFIC COUNT AT ARCH ROCK,2005,"15,983","18,900","23,250","31,500","44,950","49,348","51,150","49,600","41,342","33,369","22,605","16,726"
TRAFFIC COUNT AT ARCH ROCK,2004,"15,788","16,324","20,640","30,058","40,126","42,490","44,650","42,566","36,162","27,661","18,134","16,989"
TRAFFIC COUNT AT ARCH ROCK,2003,"15,962","15,027","19,178","23,627","35,503","44,135","45,213","44,444","34,301","31,196","19,283","17,228"
TRAFFIC COUNT AT ARCH ROCK,2002,"15,244","15,358","19,562","25,162","37,050","41,790","44,301","43,849","34,883","29,822","21,691","16,764"
TRAFFIC COUNT AT ARCH ROCK,2001,"17,670","18,900","23,250","25,395","35,564","39,097","43,614","49,600","32,557","27,521","18,954","17,885"
TRAFFIC COUNT AT ARCH ROCK,2000,"11,400","10,800","13,500","12,600","26,100","45,000","51,150","49,600","16,800","35,650","22,500","20,150"
TRAFFIC COUNT AT ARCH ROCK,1999,"11,400","10,985","13,500","12,600","26,100","37,500","51,150","49,600","16,800","17,250","13,500","7,800"
TRAFFIC COUNT AT ARCH ROCK,1998,"15,549","15,062","20,876","28,751","37,179","36,732","49,673","49,855","41,584","35,650","13,500","7,800"
TRAFFIC COUNT AT ARCH ROCK,1997,0,113,300,"6,994","17,520","36,036","42,966","47,096","38,541","34,408","21,227","17,525"
TRAFFIC COUNT AT ARCH ROCK,1996,"15,143","18,911","23,648","31,756","38,442","46,409","49,043","49,600","42,110","35,650","22,500","19,500"
TRAFFIC COUNT AT ARCH ROCK,1995,"17,016","19,879","6,967","27,850","43,812","50,229","53,267","51,966","46,216","39,525","22,998","12,273"
TRAFFIC COUNT AT ARCH ROCK,1994,"17,962","18,382","23,579","31,082","40,803","42,805","46,679","47,880","41,400","34,522","21,505","20,930"
TRAFFIC COUNT AT ARCH ROCK,1993,"17,934","18,481","22,843","35,414","49,454","44,065","54,014","50,490","43,126","37,269","23,077","19,173"
TRAFFIC COUNT AT ARCH ROCK,1992,"19,247","17,861","21,832","33,251","45,164","44,244","48,750","49,994","40,366","34,452","22,493","18,383"
TRAFFIC COUNT AT ARCH ROCK,1991,"16,036","16,115","20,341","26,154","40,361","39,028","46,778","48,979","39,141","33,019","22,704","17,988"
TRAFFIC COUNT AT ARCH ROCK,1990,"17,260","17,352","22,010","31,171","40,716","41,200","40,544","32,608","31,955","30,048","20,331","15,314"
TRAFFIC COUNT AT ARCH ROCK,1989,"17,545","16,976","22,450","27,660","40,242","38,763","42,677","44,268","35,592","30,198","22,508","17,854"
TRAFFIC COUNT AT ARCH ROCK,1988,"18,174","17,846","22,793","27,685","40,121","40,121","41,735","41,191","32,951","28,821","21,001","17,468"
TRAFFIC COUNT AT ARCH ROCK,1987,"16,073","16,731","18,714","28,382","40,757","39,036","42,199","43,175","35,128","28,508","25,262","17,300"
TRAFFIC COUNT AT ARCH ROCK,1986,"15,880","13,464","20,102","23,152","35,559","32,321","34,350","49,218","35,411","22,354","12,992","15,051"
TRAFFIC COUNT AT ARCH ROCK,1985,"13,370","14,605","15,469","22,392","32,166","33,551","37,450","36,613","29,839","25,872","17,366","14,257"
TRAFFIC COUNT AT BADGER PASS,2020,"9,008","6,732",0,0,0,"14,250","44,950","24,072","11,554",,,
TRAFFIC COUNT AT BADGER PASS,2019,"7,082","11,209","8,283","3,672","5,775","22,500","89,013","54,493","49,946","65,850","17,514","21,295"
TRAFFIC COUNT AT BADGER PASS,2018,"12,400","14,700","12,400","2,250","8,525","22,500","36,250",0,"33,750","23,250","4,500","10,850"
TRAFFIC COUNT AT BADGER PASS,2017,"10,054","7,617","9,111",300,"8,525","22,500","44,950","44,950","33,750","23,250","4,500","10,850"
TRAFFIC COUNT AT BADGER PASS,2016,"12,400","15,225","12,400","2,250","36,055","22,500","44,950","44,950","33,750","23,250","11,144","10,850"
TRAFFIC COUNT AT BADGER PASS,2015,"10,400","14,700","12,400","4,500","8,525","22,500","44,950","44,950","33,750","23,250",0,"10,850"
TRAFFIC COUNT AT BADGER PASS,2014,"12,400","14,700","12,400","4,500","8,525","22,500","44,950","44,950","33,750","23,250","4,500","10,850"
